"date","time","temp","date.time.weather"
2024-09-19,19,14.5,2024-09-19 19:00:00
2024-09-19,20,13.6,2024-09-19 20:00:00
2024-09-19,21,12.9,2024-09-19 21:00:00
2024-09-19,22,12.5,2024-09-19 22:00:00
2024-09-19,23,12.5,2024-09-19 23:00:00
2024-09-20,0,12.4,2024-09-20
2024-09-20,1,12,2024-09-20 01:00:00
2024-09-20,2,11.3,2024-09-20 02:00:00
2024-09-20,3,11.3,2024-09-20 03:00:00
2024-09-20,4,11.7,2024-09-20 04:00:00
2024-09-20,5,12.2,2024-09-20 05:00:00
2024-09-20,6,12.4,2024-09-20 06:00:00
2024-09-20,7,12.6,2024-09-20 07:00:00
2024-09-20,8,12.9,2024-09-20 08:00:00
2024-09-20,9,13.2,2024-09-20 09:00:00
2024-09-20,10,13.7,2024-09-20 10:00:00
2024-09-20,11,14.1,2024-09-20 11:00:00
2024-09-20,12,15.3,2024-09-20 12:00:00
2024-09-20,13,17.1,2024-09-20 13:00:00
2024-09-20,14,18.8,2024-09-20 14:00:00
2024-09-20,15,19.5,2024-09-20 15:00:00
2024-09-20,16,19.5,2024-09-20 16:00:00
2024-09-20,17,18.8,2024-09-20 17:00:00
2024-09-20,18,16.8,2024-09-20 18:00:00
2024-09-20,19,14.7,2024-09-20 19:00:00
2024-09-20,20,13.8,2024-09-20 20:00:00
2024-09-20,21,13.5,2024-09-20 21:00:00
2024-09-20,22,12.9,2024-09-20 22:00:00
2024-09-20,23,12.4,2024-09-20 23:00:00
2024-09-21,0,11.7,2024-09-21
2024-09-21,1,11.5,2024-09-21 01:00:00
2024-09-21,2,11.4,2024-09-21 02:00:00
2024-09-21,3,11.3,2024-09-21 03:00:00
2024-09-21,4,11.4,2024-09-21 04:00:00
2024-09-21,5,11.1,2024-09-21 05:00:00
2024-09-21,6,10.9,2024-09-21 06:00:00
2024-09-21,7,11.1,2024-09-21 07:00:00
2024-09-21,8,11.8,2024-09-21 08:00:00
2024-09-21,9,12.6,2024-09-21 09:00:00
2024-09-21,10,14,2024-09-21 10:00:00
2024-09-21,11,16,2024-09-21 11:00:00
2024-09-21,12,18.8,2024-09-21 12:00:00
2024-09-21,13,20.2,2024-09-21 13:00:00
2024-09-21,14,20.7,2024-09-21 14:00:00
2024-09-21,15,20.9,2024-09-21 15:00:00
2024-09-21,16,20.2,2024-09-21 16:00:00
2024-09-21,17,18.7,2024-09-21 17:00:00
2024-09-21,18,16.8,2024-09-21 18:00:00
2024-09-21,19,15.2,2024-09-21 19:00:00
2024-09-21,20,14,2024-09-21 20:00:00
2024-09-21,21,13.3,2024-09-21 21:00:00
2024-09-21,22,12.8,2024-09-21 22:00:00
2024-09-21,23,12.7,2024-09-21 23:00:00
2024-09-22,0,12.4,2024-09-22
2024-09-22,1,11,2024-09-22 01:00:00
2024-09-22,2,10.8,2024-09-22 02:00:00
2024-09-22,3,10.9,2024-09-22 03:00:00
2024-09-22,4,10.8,2024-09-22 04:00:00
2024-09-22,5,9.7,2024-09-22 05:00:00
2024-09-22,6,9.4,2024-09-22 06:00:00
2024-09-22,7,9.8,2024-09-22 07:00:00
2024-09-22,8,11.9,2024-09-22 08:00:00
2024-09-22,9,14.5,2024-09-22 09:00:00
2024-09-22,10,15.6,2024-09-22 10:00:00
2024-09-22,11,15.6,2024-09-22 11:00:00
2024-09-22,12,18.5,2024-09-22 12:00:00
2024-09-22,13,19.4,2024-09-22 13:00:00
2024-09-22,14,19.5,2024-09-22 14:00:00
2024-09-22,15,19.4,2024-09-22 15:00:00
2024-09-22,16,18.6,2024-09-22 16:00:00
2024-09-22,17,17.3,2024-09-22 17:00:00
2024-09-22,18,15.5,2024-09-22 18:00:00
2024-09-22,19,13.9,2024-09-22 19:00:00
2024-09-22,20,12.7,2024-09-22 20:00:00
2024-09-22,21,11.8,2024-09-22 21:00:00
2024-09-22,22,11.8,2024-09-22 22:00:00
2024-09-22,23,11.2,2024-09-22 23:00:00
2024-09-23,0,10.5,2024-09-23
2024-09-23,1,9.6,2024-09-23 01:00:00
2024-09-23,2,9.1,2024-09-23 02:00:00
2024-09-23,3,8.1,2024-09-23 03:00:00
2024-09-23,4,7.5,2024-09-23 04:00:00
2024-09-23,5,8.1,2024-09-23 05:00:00
2024-09-23,6,9.6,2024-09-23 06:00:00
2024-09-23,7,11.3,2024-09-23 07:00:00
2024-09-23,8,12,2024-09-23 08:00:00
2024-09-23,9,12.4,2024-09-23 09:00:00
2024-09-23,10,12.7,2024-09-23 10:00:00
2024-09-23,11,13.5,2024-09-23 11:00:00
2024-09-23,12,15.2,2024-09-23 12:00:00
2024-09-23,13,17.5,2024-09-23 13:00:00
2024-09-23,14,18.4,2024-09-23 14:00:00
2024-09-23,15,18.3,2024-09-23 15:00:00
2024-09-23,16,18.1,2024-09-23 16:00:00
2024-09-23,17,17.3,2024-09-23 17:00:00
2024-09-23,18,16.1,2024-09-23 18:00:00
2024-09-23,19,15.3,2024-09-23 19:00:00
2024-09-23,20,15,2024-09-23 20:00:00
2024-09-23,21,15,2024-09-23 21:00:00
2024-09-23,22,15,2024-09-23 22:00:00
2024-09-23,23,14.8,2024-09-23 23:00:00
2024-09-24,0,14.9,2024-09-24
2024-09-24,1,14.7,2024-09-24 01:00:00
2024-09-24,2,14.6,2024-09-24 02:00:00
2024-09-24,3,14.5,2024-09-24 03:00:00
2024-09-24,4,14.5,2024-09-24 04:00:00
2024-09-24,5,14.2,2024-09-24 05:00:00
2024-09-24,6,14.4,2024-09-24 06:00:00
2024-09-24,7,14.4,2024-09-24 07:00:00
2024-09-24,8,14.6,2024-09-24 08:00:00
2024-09-24,9,15,2024-09-24 09:00:00
2024-09-24,10,14.8,2024-09-24 10:00:00
2024-09-24,11,14.5,2024-09-24 11:00:00
2024-09-24,12,15.7,2024-09-24 12:00:00
2024-09-24,13,17,2024-09-24 13:00:00
2024-09-24,14,17.3,2024-09-24 14:00:00
2024-09-24,15,16.8,2024-09-24 15:00:00
2024-09-24,16,16.8,2024-09-24 16:00:00
2024-09-24,17,16.1,2024-09-24 17:00:00
2024-09-24,18,15.1,2024-09-24 18:00:00
2024-09-24,19,14.5,2024-09-24 19:00:00
2024-09-24,20,13.8,2024-09-24 20:00:00
2024-09-24,21,13.2,2024-09-24 21:00:00
2024-09-24,22,12.7,2024-09-24 22:00:00
2024-09-24,23,12.8,2024-09-24 23:00:00
